order_id,product_id,quantity,price,total_price
ORD_00001,PROD_002,1,157542,157542
ORD_00001,PROD_093,1,141160,141160
ORD_00001,PROD_019,1,187323,187323
ORD_00002,PROD_087,2,142011,284022
ORD_00003,PROD_081,1,201542,201542
ORD_00004,PROD_057,1,82539,82539
ORD_00004,PROD_022,3,75681,227043
ORD_00005,PROD_024,1,195658,195658
ORD_00006,PROD_033,1,253503,253503
ORD_00007,PROD_076,3,91332,273996
ORD_00007,PROD_039,1,71764,71764
ORD_00007,PROD_082,1,76093,76093
ORD_00008,PROD_090,1,84750,84750
ORD_00009,PROD_078,2,121557,243114
ORD_00009,PROD_096,3,57359,172077
ORD_00009,PROD_064,2,225330,450660
ORD_00010,PROD_088,1,225165,225165
ORD_00010,PROD_018,3,162230,486690
ORD_00011,PROD_042,1,168608,168608
ORD_00011,PROD_096,1,57359,57359
ORD_00011,PROD_054,1,169817,169817
ORD_00012,PROD_038,2,793575,1587150
ORD_00012,PROD_096,1,57359,57359
ORD_00012,PROD_044,1,115106,115106
ORD_00013,PROD_047,2,67955,135910
ORD_00013,PROD_012,1,990751,990751
ORD_00014,PROD_048,1,107320,107320
ORD_00014,PROD_014,1,44731,44731
ORD_00015,PROD_090,1,84750,84750
ORD_00016,PROD_069,1,515966,515966
ORD_00017,PROD_054,1,169817,169817
ORD_00017,PROD_084,1,145494,145494
ORD_00018,PROD_047,1,67955,67955
ORD_00019,PROD_059,1,121981,121981
ORD_00019,PROD_012,1,990751,990751
ORD_00019,PROD_085,3,191709,575127
ORD_00020,PROD_027,1,89653,89653
ORD_00020,PROD_076,2,91332,182664
ORD_00021,PROD_070,1,186171,186171
ORD_00021,PROD_033,2,253503,507006
ORD_00021,PROD_023,1,943297,943297
ORD_00022,PROD_068,2,133142,266284
ORD_00022,PROD_015,1,116877,116877
ORD_00023,PROD_085,1,191709,191709
ORD_00023,PROD_067,1,102979,102979
ORD_00024,PROD_011,1,99817,99817
ORD_00025,PROD_068,1,133142,133142
ORD_00025,PROD_038,1,793575,793575
ORD_00025,PROD_059,2,121981,243962
ORD_00026,PROD_030,1,139469,139469
ORD_00027,PROD_020,1,165275,165275
ORD_00028,PROD_072,1,255123,255123
ORD_00028,PROD_008,1,177379,177379
ORD_00029,PROD_007,1,307682,307682
ORD_00029,PROD_037,1,121177,121177
ORD_00029,PROD_077,1,129178,129178
ORD_00030,PROD_074,2,42144,84288
ORD_00030,PROD_029,2,78292,156584
ORD_00031,PROD_089,1,149006,149006
ORD_00031,PROD_035,1,30771,30771
ORD_00032,PROD_019,2,187323,374646
ORD_00033,PROD_093,1,141160,141160
ORD_00034,PROD_035,1,30771,30771
ORD_00034,PROD_057,1,82539,82539
ORD_00035,PROD_076,1,91332,91332
ORD_00035,PROD_063,1,247861,247861
ORD_00036,PROD_038,1,793575,793575
ORD_00036,PROD_042,1,168608,168608
ORD_00037,PROD_010,2,92560,185120
ORD_00037,PROD_051,1,135903,135903
ORD_00038,PROD_015,1,116877,116877
ORD_00039,PROD_014,1,44731,44731
ORD_00040,PROD_010,1,92560,92560
ORD_00040,PROD_066,1,160637,160637
ORD_00041,PROD_019,1,187323,187323
ORD_00042,PROD_073,2,168941,337882
ORD_00043,PROD_041,1,196385,196385
ORD_00043,PROD_020,1,165275,165275
ORD_00043,PROD_057,1,82539,82539
ORD_00044,PROD_037,1,121177,121177
ORD_00045,PROD_095,3,63450,190350
ORD_00045,PROD_006,1,148817,148817
ORD_00045,PROD_058,1,82717,82717
ORD_00046,PROD_092,1,737234,737234
ORD_00047,PROD_048,3,107320,321960
ORD_00048,PROD_013,1,229930,229930
ORD_00049,PROD_075,1,99079,99079
ORD_00050,PROD_040,1,72970,72970
ORD_00050,PROD_072,1,255123,255123
ORD_00050,PROD_049,1,216617,216617
ORD_00051,PROD_047,1,67955,67955
ORD_00052,PROD_038,2,793575,1587150
ORD_00053,PROD_080,1,192494,192494
ORD_00053,PROD_017,1,77086,77086
ORD_00054,PROD_087,2,142011,284022
ORD_00055,PROD_061,3,217261,651783
ORD_00056,PROD_054,3,169817,509451
ORD_00057,PROD_014,2,44731,89462
ORD_00058,PROD_056,1,123128,123128
ORD_00059,PROD_031,1,83326,83326
ORD_00060,PROD_005,1,256476,256476
ORD_00061,PROD_003,2,904709,1809418
ORD_00061,PROD_033,1,253503,253503
ORD_00061,PROD_028,2,353364,706728
ORD_00062,PROD_080,1,192494,192494
ORD_00062,PROD_059,2,121981,243962
ORD_00063,PROD_079,1,82738,82738
ORD_00064,PROD_065,2,84902,169804
ORD_00065,PROD_003,1,904709,904709
ORD_00066,PROD_006,1,148817,148817
ORD_00067,PROD_018,1,162230,162230
ORD_00068,PROD_040,1,72970,72970
ORD_00069,PROD_007,1,307682,307682
ORD_00069,PROD_084,1,145494,145494
ORD_00070,PROD_089,1,149006,149006
ORD_00071,PROD_024,1,195658,195658
ORD_00071,PROD_070,1,186171,186171
ORD_00071,PROD_038,1,793575,793575
ORD_00072,PROD_046,3,71189,213567
ORD_00072,PROD_079,1,82738,82738
ORD_00073,PROD_021,1,123690,123690
ORD_00073,PROD_004,1,127866,127866
ORD_00074,PROD_005,1,256476,256476
ORD_00074,PROD_078,3,121557,364671
ORD_00074,PROD_020,1,165275,165275
ORD_00075,PROD_004,1,127866,127866
ORD_00075,PROD_095,1,63450,63450
ORD_00075,PROD_024,1,195658,195658
ORD_00076,PROD_026,2,145358,290716
ORD_00076,PROD_016,1,943936,943936
ORD_00076,PROD_018,2,162230,324460
ORD_00077,PROD_070,1,186171,186171
ORD_00078,PROD_026,2,145358,290716
ORD_00079,PROD_079,2,82738,165476
ORD_00080,PROD_010,3,92560,277680
ORD_00080,PROD_017,1,77086,77086
ORD_00081,PROD_099,3,834688,2504064
ORD_00082,PROD_091,1,143557,143557
ORD_00083,PROD_017,1,77086,77086
ORD_00084,PROD_093,1,141160,141160
ORD_00084,PROD_078,3,121557,364671
ORD_00085,PROD_054,1,169817,169817
ORD_00085,PROD_080,1,192494,192494
ORD_00086,PROD_059,1,121981,121981
ORD_00087,PROD_041,3,196385,589155
ORD_00087,PROD_094,1,101522,101522
ORD_00088,PROD_032,1,697202,697202
ORD_00089,PROD_074,1,42144,42144
ORD_00089,PROD_093,2,141160,282320
ORD_00090,PROD_031,1,83326,83326
ORD_00091,PROD_002,2,157542,315084
ORD_00092,PROD_072,1,255123,255123
ORD_00093,PROD_079,1,82738,82738
ORD_00093,PROD_016,1,943936,943936
ORD_00094,PROD_006,1,148817,148817
ORD_00095,PROD_079,1,82738,82738
ORD_00096,PROD_091,1,143557,143557
ORD_00097,PROD_093,1,141160,141160
ORD_00097,PROD_089,1,149006,149006
ORD_00098,PROD_022,1,75681,75681
ORD_00099,PROD_015,1,116877,116877
ORD_00099,PROD_025,1,383279,383279
ORD_00099,PROD_003,1,904709,904709
ORD_00100,PROD_067,1,102979,102979
